timp	Bitcoin	Ethereum
1 zi	-3.00009	15.8377
2 zi	1.49963	-7.59328
3 zi	1.49904	-7.27335
4 zi	-1.49829	6.95903
5 zi	2.99475	-13.3007
6 zi	1.4963	-6.34723
7 zi	-1.49505	6.04975
8 zi	1.49364	-5.75789
9 zi	2.98413	-10.9433
10 zi	-1.49033	5.19099
11 zi	1.48842	-4.91596
12 zi	1.48635	-4.64654
13 zi	-2.96823	8.76547
14 zi	1.48172	-4.12454
15 zi	1.47915	-4.12454
16 zi	-1.47642	3.87196
17 zi	2.94705	-7.24999
18 zi	1.47047	-3.38364
19 zi	-1.46724	3.1479
20 zi	1.46385	-2.91777
21 zi	2.92059	-5.3865
22 zi	-1.45657	2.47435
23 zi	1.45269	-2.26105
24 zi	1.44864	-2.05338
25 zi	-2.88884	3.70262
26 zi	1.44004	-1.65485
27 zi	1.4355	-1.46401
28 zi	-1.43078	1.27879
29 zi	2.85182	-2.19834
30 zi	1.42087	-0.925166
